s	pop	prob_EUR	prob_EAS	prob_AMR	prob_CSA	prob_AFR	prob_OCE	prob_MID	true_pop
HG03940	CSA	0.000596025193371866	0.0023538476067160507	0.0006780892148318218	0.9948555519724124	0.0006091667772240175	0.0004227539953601004	0.0004845652400837698	CSA
HG03950	CSA	0.0005960251935745593	0.002353847607044367	0.0006780892153364471	0.9948555519709044	0.0006091667773979914	0.0004227539954984329	0.00048456524024412327	CSA
HG03999	CSA	0.0005960251933718724	0.002353847606716061	0.0006780892148318349	0.9948555519724124	0.000609166777224023	0.00042275399536010445	0.000484565240083775	CSA
HG04001	CSA	0.000596025193371866	0.0023538476067160507	0.0006780892148318224	0.9948555519724124	0.0006091667772240169	0.0004227539953601004	0.0004845652400837698	CSA
HG04002	CSA	0.000596025193371866	0.0023538476067160486	0.0006780892148318235	0.9948555519724124	0.0006091667772240163	0.0004227539953601	0.0004845652400837698	CSA
HG04006	CSA	0.0006238421628347055	0.002513271502387827	0.0007101053660506239	0.9945602710041547	0.0006376803864302919	0.00044767307721340363	0.0005071565009285372	CSA
HG04029	CSA	0.0005960251933719534	0.002353847606716191	0.0006780892148320362	0.9948555519724115	0.0006091667772240928	0.0004227539953601597	0.00048456524008383915	CSA
HG04060	CSA	0.000596025193371866	0.0023538476067160507	0.0006780892148318224	0.9948555519724124	0.0006091667772240169	0.0004227539953601004	0.0004845652400837698	CSA
HG04096	CSA	0.0005960251933718724	0.002353847606716059	0.0006780892148318393	0.9948555519724124	0.0006091667772240219	0.00042275399536010445	0.000484565240083775	CSA
HG04195	CSA	0.0006106071977271045	0.0024175480305911865	0.0007095092300757768	0.9947054741096495	0.000625744324669998	0.00043379765407213807	0.0004973194532142511	CSA
HG04219	CSA	0.000596025193371866	0.0023538476067160507	0.0006780892148318224	0.9948555519724124	0.0006091667772240169	0.0004227539953601004	0.0004845652400837698	CSA
HG04235	CSA	0.000596025193371866	0.0023538476067160507	0.0006780892148318218	0.9948555519724124	0.0006091667772240175	0.0004227539953601004	0.0004845652400837698	CSA
HG04238	CSA	0.0005960251935262744	0.0023538476069661545	0.0006780892152162389	0.9948555519712633	0.0006091667773565482	0.00042275399546547963	0.0004845652402059245	CSA
HGDP00001	CSA	0.0005960460668613378	0.0023538941964191705	0.0006781009537184719	0.9948554459072896	0.0006091774126926937	0.0004227616120179244	0.0004845738510009285	CSA
HGDP00023	CSA	0.0005960460668613378	0.0023538941964191705	0.0006781009537184719	0.9948554459072896	0.0006091774126926937	0.0004227616120179244	0.0004845738510009285	CSA
HGDP00106	oth	0.012760984007724912	0.6652456728432536	0.0134840306493867	0.2801358022562963	0.012293062292245678	0.007396881329078836	0.008683566622014064	CSA
HGDP00139	CSA	0.000825143868893211	0.0030108744050929784	0.0009012650711008692	0.9933022588357343	0.0008160689500642099	0.0005329761764609797	0.0006114126926533769	CSA
HGDP00140	CSA	0.0005960460668613378	0.0023538941964191705	0.0006781009537184719	0.9948554459072896	0.0006091774126926937	0.0004227616120179244	0.0004845738510009285	CSA
HGDP00144	CSA	0.0005960460668613378	0.0023538941964191705	0.0006781009537184719	0.9948554459072896	0.0006091774126926937	0.0004227616120179244	0.0004845738510009285	CSA
HGDP00154	CSA	0.0005960460668613378	0.0023538941964191705	0.0006781009537184719	0.9948554459072896	0.0006091774126926937	0.0004227616120179244	0.0004845738510009285	CSA
HGDP00161	CSA	0.0006085252148631842	0.0024022654326447657	0.0006925658401239437	0.9947407073078693	0.0006220604367678936	0.000431544241220426	0.0005023315265104102	CSA
HGDP00171	CSA	0.0005960246815905419	0.002353845086410196	0.0006780882182408758	0.9948555577026456	0.0006091659738559934	0.00042275358306636857	0.00048456475419047346	CSA
HGDP00192	CSA	0.0006069046315059964	0.002401629793360252	0.0007053911073853069	0.9947378346976394	0.0006219244192648792	0.00043159319833877745	0.0004947221525053027	CSA
HGDP00247	CSA	0.0005960246815905419	0.002353845086410196	0.0006780882182408758	0.9948555577026456	0.0006091659738559938	0.00042275358306636857	0.00048456475419047346	CSA
HGDP00288	CSA	0.0005960460668613378	0.0023538941964191705	0.0006781009537184719	0.9948554459072896	0.0006091774126926937	0.0004227616120179244	0.0004845738510009285	CSA
HGDP00423	CSA	0.0005960246815905419	0.002353845086410196	0.0006780882182408758	0.9948555577026456	0.0006091659738559938	0.00042275358306636857	0.00048456475419047346	CSA
HGDP00511	EUR	0.9960729544917614	0.0006604371456563179	0.0015335287942923963	0.00040312843025492467	0.0005453065375378508	0.00037796568114478653	0.0004066789193524895	EUR
HGDP00515	EUR	0.9961842547769605	0.0006459244907774887	0.001474698171722397	0.0003942539740219269	0.000533466718103423	0.0003696672770875431	0.0003977345913267303	EUR
HGDP00517	EUR	0.9959581455152862	0.0006752734840184216	0.00159470072844208	0.0004122011886768528	0.0005574071605700696	0.0003864490040554107	0.00041582291895105207	EUR
HGDP00519	EUR	0.9960092748608848	0.0006717340272538794	0.0015338069849889482	0.0004102221577231923	0.0005766998674507799	0.00038447797117550496	0.00041378413052309325	EUR
HGDP00520	EUR	0.9961842517509142	0.0006459248901513428	0.0014746998203379407	0.00039425421053790197	0.0005334669970656697	0.0003696675009574484	0.0003977348300355078	EUR
HGDP00537	EUR	0.9959581455152751	0.0006752734840198284	0.0015947007284480975	0.0004122011886776862	0.0005574071605710511	0.0003864490040561993	0.0004158229189518932	EUR
HGDP00546	OCE	0.008339632714766258	0.011199558880119241	0.010882397276597061	0.007451377676324846	0.009723318026189854	0.945063114102298	0.007340601323704567	OCE
HGDP00560	MID	0.002828935302303582	0.0030624582754157424	0.003144427715429646	0.002038332796065804	0.00268654901850974	0.0016904042383900047	0.9845488926538856	MID
HGDP00561	MID	0.003177559256822395	0.0032478618395259686	0.0034149052659197586	0.0021632632019182594	0.002851961856547527	0.0017955246885681027	0.9833489238906981	MID
HGDP00563	MID	0.004934482717564785	0.003874681477794246	0.004010413014884124	0.00263969202931192	0.0034138924467605075	0.0021509986977387716	0.9789758396159456	MID
HGDP00598	MID	0.0037781730054478008	0.0034952462952668184	0.003706622471975408	0.0023303673218547007	0.0030739806313905527	0.0019361118064953877	0.9816794984675693	MID
HGDP00600	MID	0.004981982791238591	0.003929188012338884	0.004224317631616127	0.0026238875940464723	0.0034642510111677523	0.002183381405682993	0.9785929915539093	MID
HGDP00608	MID	0.0027671596573208787	0.0030367871874691253	0.0028870478827109736	0.001969430069506406	0.0026085928107927553	0.0016397183695992538	0.9850912640226006	MID
HGDP00627	MID	0.002925610331352629	0.0033663810843217864	0.0031808792780202827	0.002074599690131662	0.0027705934818610693	0.001742752031094808	0.9839391841032178	MID
HGDP00634	MID	0.0028085910314931037	0.0030813612032454325	0.002934619720880018	0.0019992565809647377	0.002699497307638766	0.0016645279441199119	0.984812146211658	MID
HGDP00640	MID	0.005391307458227966	0.00524353563072013	0.005135660381196247	0.003206470566162546	0.00431366218894141	0.002601687959369606	0.9741076758153819	MID
HGDP00680	MID	0.0028728001266929313	0.0033613088725864123	0.0031186587801865376	0.0021170155548644806	0.002821852504612861	0.0017410558497998614	0.9839673083112567	MID
HGDP00690	MID	0.0025432177535063536	0.0028447787279656895	0.002752823747256793	0.0018910683408024783	0.002493684072513766	0.0015672195761916785	0.9859072077817632	MID
HGDP00694	MID	0.0025432145342161403	0.0028447758703093063	0.0027528211136987513	0.0018910664966043395	0.002493681627602893	0.001567218265926591	0.985907222091642	MID
HGDP00696	MID	0.002543217750181276	0.0028447787231812975	0.00275282373833075	0.0018910683377788117	0.0024936840671782997	0.0015672195736183305	0.9859072078097313	MID
HGDP00700	MID	0.003940453755892169	0.004213253530759376	0.0041879711799714505	0.002596981081936856	0.0036821967625080654	0.002148416129620974	0.979230727559311	MID
HGDP00729	MID	0.002543214837651071	0.0028447763069170792	0.0027528219282588785	0.001891066772534094	0.0024936821144995363	0.0015672185007616754	0.9859072195393777	MID
HGDP00734	MID	0.0036227977965177156	0.003497553794475216	0.0037629412800160474	0.002379719518523945	0.0030724244267080524	0.0019361591651765	0.9817284040185824	MID
